
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. BaseDesign, 9589, 16799, 4185, 0, 6, 86, 6, 3, 10
.	. COREAHBTOAPB3_C0, 99, 42, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBTOAPB3_26s_0s, 99, 42, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_AhbToApbSM_0s_0_1_0_1_2_3_4, 9, 23, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_ApbAddrData_0s, 88, 17, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_PenableScheduler_0s_0_1_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBL_C0, 83, 249, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBL_C0_CoreAHBL_C0_0_CoreAHBLite_Z5, 83, 249, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_1_1_0_128_256_0_0_0s, 83, 249, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_128_0s_0_1_0, 28, 57, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_ADDRDEC_Z1, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_256_0s_0_1_0, 47, 76, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1_0, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 4, 65, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_2, 3, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_1, 4, 51, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_1, 3, 3, 0, 0, 0, 0, 0, 0, 0
.	. CoreAPB3_C0, 0, 18, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_Z6, 0, 18, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 18, 0, 0, 0, 0, 0, 0, 0
.	. CoreGPIO_IN_C0, 8, 40, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO_IN_C0_CoreGPIO_IN_C0_0_CoreGPIO_Z7, 8, 40, 0, 0, 0, 0, 0, 0, 0
