
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. BaseDesign, 5631, 9533, 1454, 0, 2, 86, 6, 3, 10
.	. COREAHBTOAPB3_C0, 99, 42, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBTOAPB3_26s_0s, 99, 42, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_AhbToApbSM_0s_0_1_0_1_2_3_4, 9, 23, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_ApbAddrData_0s, 88, 17, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAHBtoAPB3_PenableScheduler_0s_0_1_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBL_C0, 83, 249, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBL_C0_CoreAHBL_C0_0_CoreAHBLite_Z5, 83, 249, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_1_1_0_128_256_0_0_0s, 83, 249, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_128_0s_0_1_0, 28, 57, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_ADDRDEC_Z1, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_256_0s_0_1_0, 47, 76, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1_0, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 4, 65, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_2, 3, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_1, 4, 51, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z4_1, 3, 3, 0, 0, 0, 0, 0, 0, 0
.	. CoreAPB3_C0, 0, 18, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_Z6, 0, 18, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 18, 0, 0, 0, 0, 0, 0, 0
.	. CoreGPIO_IN_C0, 8, 40, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO_IN_C0_CoreGPIO_IN_C0_0_CoreGPIO_Z7, 8, 40, 0, 0, 0, 0, 0, 0, 0
.	. CoreGPIO_OUT_C0, 4, 2, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO_OUT_C0_CoreGPIO_OUT_C0_0_CoreGPIO_Z8, 4, 2, 0, 0, 0, 0, 0, 0, 0
.	. CoreJTAGDebug_TRST_C0, 17, 114, 0, 0, 0, 0, 0, 2, 0
.	.	. COREJTAGDEBUG_Z9, 17, 114, 0, 0, 0, 0, 0, 2, 0
.	.	.	. COREJTAGDEBUG_UJ_JTAG_26s_0s_34s_85_0_0, 17, 110, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. corejtagdebug_bufd_34s, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. corejtagdebug_bufd_34s_0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. corejtagdebug_bufd_34s_2, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	. CoreRESET_PF_C0, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreRESET_PF_C0_CoreRESET_PF_C0_0_CORERESET_PF, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	. CoreTimer_C0, 118, 87, 44, 0, 0, 0, 0, 0, 0
.	.	. CoreTimer_32s_1s_19s_0s_BaseDesign_0, 118, 87, 44, 0, 0, 0, 0, 0, 0
.	. CoreTimer_C1, 118, 88, 44, 0, 0, 0, 0, 0, 0
.	.	. CoreTimer_32s_1s_19s_0s_BaseDesign, 118, 88, 44, 0, 0, 0, 0, 0, 0
.	. CoreUARTapb_C0, 114, 131, 19, 0, 0, 0, 0, 0, 0
.	.	. CoreUARTapb_C0_CoreUARTapb_C0_0_CoreUARTapb_Z10, 114, 131, 19, 0, 0, 0, 0, 0, 0
.	.	.	. CoreUARTapb_C0_CoreUARTapb_C0_0_COREUART_0s_0s_0s_26s_0s_0s, 90, 104, 19, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreUARTapb_C0_CoreUARTapb_C0_0_Clock_gen_0s_0s, 19, 10, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreUARTapb_C0_CoreUARTapb_C0_0_Rx_async_0s_0s_0s_1s_2s_3s, 41, 66, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreUARTapb_C0_CoreUARTapb_C0_0_Tx_async_0s_0s_0s_1s_2s_3s_4s_5s_6s, 21, 23, 5, 0, 0, 0, 0, 0, 0
.	. MIV_RV32IMA_L1_AHB_C0, 4990, 8628, 1322, 0, 2, 22, 6, 0, 0
.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32, 4990, 8628, 1322, 0, 2, 22, 6, 0, 0
.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_ROCKET_SYSTEM_0s, 4990, 8626, 1322, 0, 2, 22, 6, 0, 0
.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_COREPLEX_LOCAL_INTERRUPTER_CLINT, 129, 174, 192, 0, 0, 0, 0, 0, 0
.	.	.	.	. MIV_RV32IMA_L1_AHB_C0_MIV_RV32IMA_L1_AHB_C0_0_MIV_RV32IMA_L1_AHB_DEBUG_TRANSPORT_MODULE_JTAG, 168, 112, 0, 0, 0, 0, 0, 0, 0
